event_key,name,recipient_list,year
2019txdel,District Chairman's Award,"[{'awardee': None, 'team_key': 'frc1477'}]",2019
2019txdel,District Event Winner,"[{'awardee': None, 'team_key': 'frc6377'}, {'awardee': None, 'team_key': 'frc7521'}, {'awardee': None, 'team_key': 'frc7088'}]",2019
2019txdel,Rookie All Star Award,"[{'awardee': None, 'team_key': 'frc7492'}]",2019
2019txdel,Gracious Professionalism Award sponsored by Johnson & Johnson,"[{'awardee': None, 'team_key': 'frc3481'}]",2019
2019txdel,Judges' Award,"[{'awardee': None, 'team_key': 'frc6830'}]",2019
2019txdel,Highest Rookie Seed,"[{'awardee': None, 'team_key': 'frc7521'}]",2019
2019txdel,Rookie Inspiration Award sponsored by National Instruments,"[{'awardee': None, 'team_key': 'frc7750'}]",2019
2019txdel,Industrial Design Award sponsored by General Motors,"[{'awardee': None, 'team_key': 'frc3035'}]",2019
2019txdel,Quality Award sponsored by Motorola Solutions Foundation,"[{'awardee': None, 'team_key': 'frc5892'}]",2019
2019txdel,Safety Award sponsored by Underwriters Laboratories,"[{'awardee': None, 'team_key': 'frc4063'}]",2019
2019txdel,District Event Finalist,"[{'awardee': None, 'team_key': 'frc1817'}, {'awardee': None, 'team_key': 'frc6800'}, {'awardee': None, 'team_key': 'frc6315'}]",2019
2019txdel,Creativity Award sponsored by Xerox,"[{'awardee': None, 'team_key': 'frc6377'}]",2019
2019txdel,Excellence in Engineering Award sponsored by Delphi,"[{'awardee': None, 'team_key': 'frc4063'}]",2019
2019txdel,Entrepreneurship Award sponsored by Kleiner Perkins Caufield and Byers,"[{'awardee': None, 'team_key': 'frc6800'}]",2019
2019txdel,Imagery Award in honor of Jack Kamen,"[{'awardee': None, 'team_key': 'frc6682'}]",2019
2019txdel,Innovation in Control Award sponsored by Rockwell Automation,"[{'awardee': None, 'team_key': 'frc3997'}]",2019
2019txdel,Team Spirit Award sponsored by FCA Foundation,"[{'awardee': None, 'team_key': 'frc4639'}]",2019
2019txdel,Autonomous Award sponsored by Ford,"[{'awardee': None, 'team_key': 'frc1164'}]",2019
2019txdel,District Engineering Inspiration Award,"[{'awardee': None, 'team_key': 'frc5427'}]",2019
